"Consolidado Integral: Desarrollo Humano, PIB y Matriz Eléctrica",,,,,,,,,,
"Datos 2023: IDH, PIB per Cápita, Población, Acceso, Consumo, Fallas, Pérdidas y Tipos de Energía",,,,,,,,,,
,,,,,,,,,,
País,IDH (2023),PIB per Cápita (USD),Población (2023),% Acceso a Electricidad,Consumo per Cápita (kWh),Empresas con Apagones (%),Pérdidas por Transmisión (%),% Petróleo,% Gas,% Renovables
Iceland,0.972,"$82,138.79","385,663",100.0%,"50,951.2",18.4%,2.9%,0.0%,0.0%,100.0%
Norway,0.970,"$87,497.22","5,519,601",100.0%,"23,520.2",0.0%,4.7%,0.4%,0.6%,99.0%
Switzerland,0.970,"$100,623.55","8,888,822",100.0%,"7,175.0",0.0%,5.5%,2.7%,0.6%,96.7%
Denmark,0.962,"$68,043.55","5,946,952",100.0%,"5,878.1",31.3%,5.7%,3.8%,2.5%,93.7%
Germany,0.959,"$54,776.77","83,287,273",100.0%,"5,947.3",5.8%,5.0%,4.8%,20.8%,74.4%
Sweden,0.959,"$54,950.28","10,536,632",100.0%,"12,149.5",32.7%,5.8%,1.6%,0.1%,98.3%
Australia,0.958,"$65,058.38","26,659,922",100.0%,"9,819.9",0.0%,4.6%,3.9%,28.7%,67.4%
Netherlands,0.955,"$63,515.60","17,877,117",100.0%,"6,206.4",18.4%,4.1%,4.3%,38.8%,56.9%
Belgium,0.951,"$55,291.48","11,779,946",100.0%,"6,931.1",33.5%,4.4%,9.6%,32.2%,58.2%
Ireland,0.949,"$106,818.92","5,311,538",100.0%,"6,144.7",30.2%,7.8%,3.0%,48.6%,48.4%
Finland,0.948,"$52,834.29","5,583,911",100.0%,"14,392.8",27.8%,3.6%,3.9%,1.9%,94.2%
Singapore,0.946,"$85,412.23","5,917,648",100.0%,"9,750.5",0.1%,0.2%,2.5%,92.0%,5.5%
United Kingdom,0.946,"$49,944.47","68,492,000",100.0%,"4,231.4",14.3%,9.6%,5.0%,35.6%,59.4%
United Arab Emirates,0.940,"$49,850.69","10,483,751",100.0%,"15,284.7",0.0%,4.3%,0.0%,88.6%,11.4%
Canada,0.939,"$54,220.33","40,083,484",100.0%,"14,459.9",31.4%,4.0%,1.4%,21.4%,77.1%
New Zealand,0.938,"$49,075.96","5,200,000",100.0%,"8,021.2",36.0%,6.6%,1.5%,9.0%,89.5%
United States,0.938,"$81,032.26","336,806,231",100.0%,"12,551.2",25.2%,5.5%,1.1%,60.3%,38.7%
Korea (Republic of),0.937,"$35,674.10","51,712,619",100.0%,"11,426.1",4.7%,3.2%,2.4%,71.1%,26.5%
Slovenia,0.931,"$32,660.48","2,120,461",100.0%,"6,418.4",18.4%,4.8%,0.0%,13.9%,86.1%
Austria,0.930,"$56,579.50","9,131,761",100.0%,"7,860.1",9.5%,4.1%,4.5%,11.9%,83.6%
Japan,0.925,"$33,836.18","124,516,650",100.0%,"7,655.0",0.0%,4.9%,4.2%,55.7%,40.1%
Malta,0.924,"$40,905.81","552,747",100.0%,"5,013.1",55.1%,8.3%,0.9%,83.1%,16.0%
Luxembourg,0.922,"$133,230.62","666,430",100.0%,"11,447.6",22.8%,4.6%,4.5%,3.9%,91.6%
France,0.920,"$44,700.14","68,372,286",100.0%,"6,415.0",29.5%,7.0%,5.9%,9.8%,84.3%
Israel,0.919,"$52,003.72","9,849,000",100.0%,"6,772.1",8.3%,3.9%,0.0%,82.5%,17.5%
Spain,0.918,"$33,493.22","48,352,528",100.0%,"5,117.8",18.8%,8.6%,4.3%,26.6%,69.0%
Czechia,0.915,"$31,761.59","10,864,042",100.0%,"5,965.4",30.7%,3.9%,0.9%,24.1%,75.0%
Italy,0.915,"$39,277.08","58,984,216",100.0%,"5,047.5",9.6%,6.9%,2.6%,47.9%,49.5%
Cyprus,0.913,"$36,623.69","1,344,976",100.0%,"3,841.7",13.5%,3.0%,72.3%,0.0%,27.7%
Greece,0.908,"$23,343.71","10,407,351",100.0%,"4,693.5",21.3%,12.0%,7.5%,40.3%,52.2%
Poland,0.906,"$22,145.27","36,687,353",100.0%,"4,381.9",5.0%,6.2%,7.6%,28.9%,63.5%
Estonia,0.905,"$30,264.01","1,370,286",100.0%,"5,722.2",26.2%,21.0%,39.1%,1.3%,59.6%
Saudi Arabia,0.900,"$36,156.85","33,702,731",100.0%,"11,910.6",0.7%,9.1%,34.5%,63.3%,2.2%
Bahrain,0.899,"$29,290.13","1,577,059",100.0%,"23,120.3",15.2%,2.7%,0.0%,99.7%,0.3%
Lithuania,0.895,"$27,786.01","2,871,585",100.0%,"4,202.9",18.0%,14.0%,5.8%,16.5%,77.6%
Portugal,0.890,"$27,634.62","10,578,174",100.0%,"5,146.4",9.8%,9.9%,2.6%,16.4%,81.0%
Croatia,0.889,"$22,184.23","3,859,686",100.0%,"4,484.0",17.7%,10.3%,0.0%,19.8%,80.2%
Latvia,0.889,"$22,710.26","1,883,710",100.0%,"3,616.8",19.9%,5.9%,0.8%,26.2%,73.0%
Qatar,0.886,"$81,816.98","2,656,032",100.0%,"19,963.2",0.0%,5.7%,0.0%,95.9%,4.1%
Slovakia,0.880,"$24,614.87","5,426,740",100.0%,"4,673.9",14.7%,3.7%,7.7%,34.7%,57.6%
Chile,0.878,"$17,067.04","19,658,835",100.0%,"4,323.0",42.6%,5.9%,0.7%,18.6%,80.7%
Hungary,0.870,"$22,230.63","9,592,186",100.0%,"4,604.6",27.5%,7.0%,1.8%,35.8%,62.4%
Argentina,0.865,"$14,261.85","45,538,401",100.0%,"2,821.8",65.1%,23.9%,4.2%,57.8%,37.9%
Montenegro,0.862,"$12,259.88","623,529",100.0%,"4,564.3",55.4%,11.3%,0.0%,0.0%,100.0%
Uruguay,0.862,"$23,019.42","3,388,081",100.0%,"3,789.8",40.2%,9.7%,2.2%,0.0%,97.8%
Oman,0.858,"$21,027.74","5,049,269",100.0%,"8,203.2",0.0%,7.5%,3.6%,91.9%,4.5%
Türkiye,0.853,"$13,375.09","85,325,965",100.0%,"3,581.3",32.8%,8.9%,0.4%,33.7%,65.8%
Kuwait,0.852,"$34,075.85","4,853,420",100.0%,"16,496.2",3.5%,9.0%,35.8%,62.0%,2.2%
Bulgaria,0.845,"$15,853.21","6,446,596",100.0%,"5,360.5",20.2%,5.9%,1.8%,12.7%,85.5%
Romania,0.845,"$18,244.42","19,061,062",100.0%,"2,585.3",30.0%,9.8%,0.5%,28.3%,71.2%
Georgia,0.844,"$8,283.67","3,715,483",100.0%,"3,382.3",42.4%,8.0%,0.0%,20.4%,79.6%
Panama,0.839,"$18,797.19","4,458,759",97.0%,"2,714.9",21.6%,6.6%,7.7%,21.7%,70.6%
Brunei Darussalam,0.837,"$32,890.55","458,949",100.0%,"10,674.4",44.4%,12.7%,1.1%,98.7%,0.2%
Kazakhstan,0.837,"$12,879.43","20,330,104",100.0%,"5,145.6",32.5%,9.7%,3.2%,64.3%,32.5%
Costa Rica,0.833,"$16,942.03","5,105,525",100.0%,"2,206.0",51.4%,9.2%,0.0%,0.0%,100.0%
Serbia,0.833,"$12,281.71","6,623,183",100.0%,"5,089.5",32.6%,10.3%,0.9%,19.6%,79.5%
Russian Federation,0.832,"$14,159.39","143,826,130",100.0%,"7,285.4",15.1%,8.4%,1.9%,70.7%,27.4%
Belarus,0.824,"$7,896.75","9,178,298",100.0%,"4,197.7",24.8%,6.9%,6.4%,86.0%,7.6%
Malaysia,0.819,"$11,386.04","35,126,298",100.0%,"5,083.7",22.3%,6.9%,1.9%,60.9%,37.2%
North Macedonia,0.815,"$8,674.36","1,827,816",100.0%,"3,320.4",18.7%,13.9%,3.6%,28.3%,68.1%
Armenia,0.811,"$8,159.09","2,964,300",100.0%,"2,386.1",56.1%,6.7%,0.0%,46.6%,53.4%
Albania,0.810,"$9,730.87","2,414,095",100.0%,"2,888.9",33.2%,12.3%,0.0%,0.0%,100.0%
Trinidad and Tobago,0.807,"$18,308.45","1,367,510",98.7%,"6,663.9",48.9%,4.2%,0.4%,99.5%,0.1%
Mauritius,0.806,"$11,269.97","1,248,647",100.0%,"2,465.1",40.4%,5.7%,70.5%,0.0%,29.5%
Bosnia and Herzegovina,0.804,"$8,663.02","3,185,073",100.0%,"3,676.5",14.6%,7.2%,2.3%,0.0%,97.7%
Thailand,0.798,"$7,195.10","71,702,435",100.0%,"2,965.2",8.6%,7.2%,0.1%,79.7%,20.2%
China,0.797,"$12,951.18","1,410,710,000",100.0%,"6,523.7",3.7%,3.4%,2.1%,7.7%,90.2%
Peru,0.794,"$7,887.54","33,845,617",96.2%,"1,594.7",33.5%,11.3%,0.2%,36.1%,63.7%
Azerbaijan,0.789,"$7,133.03","10,153,958",100.0%,"2,367.0",10.3%,7.6%,0.2%,87.6%,12.1%
Mexico,0.789,"$13,860.96","129,739,759",99.7%,"2,597.4",28.4%,11.1%,10.0%,65.5%,24.5%
Colombia,0.788,"$7,000.84","52,321,152",98.7%,"1,552.8",30.6%,7.8%,3.3%,14.7%,82.0%
Brazil,0.786,"$10,377.59","211,140,729",99.8%,"2,916.5",45.8%,15.1%,1.8%,7.6%,90.6%
Ukraine,0.779,"$5,139.60","37,732,836",100.0%,"2,516.3",30.1%,10.2%,2.0%,27.6%,70.4%
Ecuador,0.777,"$6,737.85","17,980,083",98.7%,"1,675.6",74.8%,17.0%,17.9%,2.7%,79.4%
Dominican Republic,0.776,"$10,630.43","11,331,265",99.6%,"1,867.4",54.1%,12.8%,28.7%,37.7%,33.6%
Sri Lanka,0.776,"$3,798.89","22,037,000",100.0%,644.5,38.1%,9.2%,15.0%,0.0%,85.0%
Viet Nam,0.766,"$4,323.35","100,352,192",99.8%,"2,585.5",43.0%,6.6%,0.4%,12.0%,87.6%
Turkmenistan,0.764,"$6,231.91","7,364,438",100.0%,"2,777.7",18.8%,9.6%,0.0%,100.0%,0.0%
Paraguay,0.756,"$6,299.99","6,844,146",99.8%,"2,388.6",75.7%,11.9%,0.0%,0.0%,100.0%
Egypt,0.754,"$3,456.79","114,535,772",100.0%,"1,492.9",35.6%,19.9%,7.4%,79.6%,13.0%
Jordan,0.754,"$4,466.08","11,439,213",100.0%,"1,857.9",14.2%,11.0%,13.9%,62.0%,24.1%
Lebanon,0.752,"$3,477.72","5,773,493",100.0%,975.3,4.4%,9.6%,56.2%,0.0%,43.8%
Mongolia,0.747,"$5,838.63","3,481,145",100.0%,"2,728.1",27.2%,14.2%,41.3%,0.0%,58.7%
Tunisia,0.746,"$3,951.12","12,200,431",100.0%,"1,628.6",35.5%,18.3%,1.0%,94.9%,4.0%
South Africa,0.741,"$6,034.27","63,212,384",87.7%,"3,247.1",92.0%,10.2%,5.6%,0.0%,94.4%
Uzbekistan,0.740,"$2,878.97","35,652,307",100.0%,"2,059.2",14.7%,4.9%,1.9%,77.4%,20.7%
Bolivia (Plurinational State of),0.733,"$4,274.71","12,244,159",99.8%,890.1,32.4%,8.9%,1.5%,62.4%,36.1%
Gabon,0.733,"$7,802.82","2,484,789",94.1%,"1,023.4",87.1%,18.9%,20.4%,44.2%,35.4%
Botswana,0.731,"$7,826.35","2,480,244",76.0%,"1,641.0",64.2%,20.6%,83.3%,0.0%,16.7%
Indonesia,0.728,"$4,876.31","281,190,067",99.4%,"1,445.2",12.7%,6.5%,5.0%,48.1%,47.0%
Suriname,0.722,"$5,521.98","628,886",99.6%,"2,897.2",61.7%,11.6%,46.0%,1.1%,52.9%
Jamaica,0.720,"$7,542.40","2,839,786",97.7%,"1,204.7",87.6%,26.9%,30.5%,56.9%,12.6%
Kyrgyzstan,0.720,"$2,138.22","7,099,750",100.0%,"2,068.8",45.4%,18.3%,1.1%,2.0%,97.0%
Philippines,0.720,"$3,804.08","114,891,199",98.0%,924.6,43.9%,10.0%,1.8%,41.8%,56.4%
Morocco,0.710,"$3,813.73","37,712,505",100.0%,997.3,10.9%,18.2%,9.4%,28.4%,62.2%
Venezuela (Bolivarian Republic of),0.709,"$3,617.44","28,300,854",100.0%,"1,952.8",64.6%,21.4%,4.4%,4.5%,91.1%
Nicaragua,0.706,"$2,609.44","6,823,613",88.3%,640.6,49.9%,21.5%,37.6%,0.0%,62.4%
Eswatini (Kingdom of),0.695,"$3,755.52","1,230,506",86.4%,"1,199.5",58.5%,28.1%,0.0%,0.0%,100.0%
Iraq,0.695,"$5,965.32","45,074,049",100.0%,"1,377.4",41.3%,61.8%,45.4%,53.0%,1.6%
Tajikistan,0.691,"$1,178.48","10,389,799",100.0%,"1,497.4",25.2%,17.3%,0.0%,1.0%,99.0%
Bangladesh,0.685,"$2,551.02","171,466,990",99.5%,602.9,71.4%,7.9%,15.4%,81.9%,2.7%
India,0.685,"$2,530.12","1,438,069,596",99.5%,"1,181.6",19.9%,14.2%,0.7%,8.8%,90.5%
El Salvador,0.678,"$5,365.44","6,309,624",98.3%,"1,137.0",36.2%,9.8%,13.5%,0.0%,86.5%
Equatorial Guinea,0.674,"$6,677.79","1,847,549",66.9%,792.4,33.3%,10.6%,0.7%,72.5%,26.8%
Namibia,0.665,"$4,187.61","2,963,095",56.7%,"1,232.2",53.7%,27.8%,0.0%,0.0%,100.0%
Guatemala,0.662,"$5,758.33","18,124,838",100.0%,733.1,54.4%,12.4%,18.8%,0.0%,81.2%
Congo,0.649,"$2,477.98","6,182,885",51.3%,338.4,77.1%,38.5%,5.3%,73.8%,20.9%
Honduras,0.645,"$3,227.46","10,644,851",95.6%,752.1,69.8%,33.8%,44.3%,0.0%,55.7%
Ghana,0.628,"$2,383.90","33,787,914",89.5%,565.0,73.8%,11.2%,2.3%,61.4%,36.2%
Kenya,0.628,"$1,942.59","55,339,003",76.2%,190.1,74.6%,24.2%,10.0%,0.0%,90.0%
Nepal,0.622,"$1,382.33","29,694,614",94.0%,351.0,75.8%,14.4%,0.0%,0.0%,100.0%
Lao People's Democratic Republic,0.617,"$2,066.95","7,664,993",96.5%,"1,664.7",41.5%,6.2%,0.0%,0.0%,100.0%
Angola,0.616,"$2,916.14","36,749,906",51.1%,379.1,61.4%,11.3%,17.3%,9.0%,73.7%
Myanmar,0.609,"$1,233.20","54,133,798",76.8%,368.4,94.9%,7.8%,0.6%,48.8%,50.7%
Cambodia,0.606,"$2,429.75","17,423,880",95.0%,932.4,42.8%,11.6%,5.8%,0.0%,94.2%
Zimbabwe,0.598,"$2,195.22","16,340,822",62.0%,503.8,52.5%,23.0%,0.0%,0.0%,100.0%
Zambia,0.595,"$1,330.73","20,723,965",51.1%,726.7,87.1%,5.3%,1.9%,0.0%,98.1%
Cameroon,0.588,"$1,720.48","28,372,687",72.0%,226.1,93.3%,22.0%,4.8%,22.0%,73.1%
Côte d'Ivoire,0.582,"$2,591.97","31,165,654",72.4%,353.8,80.3%,13.7%,0.2%,70.9%,28.9%
Uganda,0.582,"$1,002.31","48,656,601",51.5%,95.3,79.9%,18.9%,2.9%,0.0%,97.1%
Rwanda,0.578,"$1,027.03","13,954,471",63.9%,76.7,60.6%,18.3%,10.4%,31.3%,58.3%
Togo,0.571,"$1,055.02","9,304,337",59.2%,217.2,86.1%,32.5%,0.0%,70.4%,29.6%
Nigeria,0.560,"$2,138.76","227,882,945",61.2%,144.1,82.5%,14.2%,0.0%,68.7%,31.3%
Tanzania (United Republic of),0.555,"$1,224.00","66,617,606",48.3%,135.0,34.1%,16.8%,4.3%,62.8%,32.9%
Pakistan,0.544,"$1,360.32","247,504,495",95.6%,518.3,50.7%,15.4%,12.6%,28.8%,58.5%
Senegal,0.530,"$1,698.03","18,077,573",74.2%,410.2,55.0%,13.1%,79.7%,0.3%,20.1%
Congo (Democratic Republic of the),0.522,$660.21,"105,789,731",22.1%,128.5,77.4%,9.1%,0.0%,0.0%,100.0%
Benin,0.515,"$1,394.18","14,111,034",57.0%,114.7,86.1%,58.6%,23.8%,72.3%,4.0%
Sudan,0.511,$797.28,"50,042,791",66.0%,222.6,93.7%,27.1%,20.3%,0.0%,79.7%
Eritrea,0.503,$688.68,"3,470,390",54.4%,123.3,20.5%,11.8%,88.9%,0.0%,11.1%
Ethiopia,0.497,"$1,055.81","128,691,692",55.4%,112.6,85.9%,20.7%,0.0%,0.0%,100.0%
Mozambique,0.493,$622.00,"33,635,160",36.0%,390.7,58.8%,16.6%,0.8%,15.8%,83.4%
Madagascar,0.487,$508.72,"31,195,932",39.4%,80.1,52.4%,5.3%,46.6%,0.0%,53.4%
Yemen,0.470,$633.89,"39,390,799",83.6%,89.7,93.8%,31.2%,87.6%,1.1%,11.2%
Burkina Faso,0.459,$873.48,"23,025,776",21.7%,133.3,92.5%,17.1%,82.8%,0.0%,17.2%
Niger,0.419,$638.34,"26,159,867",20.1%,67.7,75.1%,45.8%,89.7%,6.4%,3.8%
Chad,0.416,$949.33,"19,319,064",12.0%,13.7,96.2%,23.6%,94.6%,0.0%,5.4%
South Sudan,0.388,"$1,080.15","11,483,374",5.4%,47.9,68.4%,4.0%,98.2%,0.0%,1.8%
World,0.756,"$13,236.72","8,064,057,930",91.6%,"3,558.0",48.0%,6.2%,4.6%,37.4%,58.0%
